"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"e:\Technikorb\safe_meet_alert\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Technikorb\safe_meet_alert\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"e:\Technikorb\safe_meet_alert\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 13, 72
"e:\Technikorb\safe_meet_alert\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"e:\Technikorb\safe_meet_alert\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"e:\Technikorb\safe_meet_alert\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Technikorb\safe_meet_alert\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Technikorb\safe_meet_alert\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Technikorb\safe_meet_alert\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Technikorb\safe_meet_alert\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"e:\Technikorb\safe_meet_alert\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"e:\Technikorb\safe_meet_alert\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\Technikorb\safe_meet_alert\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\Technikorb\safe_meet_alert\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"e:\Technikorb\safe_meet_alert\common\utils\appcolors.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Technikorb\safe_meet_alert\common\utils\apptheme.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 3, 25
"e:\Technikorb\safe_meet_alert\common\utils\asset_names.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Technikorb\safe_meet_alert\common\utils\dimension.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 3, 75
"e:\Technikorb\safe_meet_alert\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Technikorb\safe_meet_alert\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Technikorb\safe_meet_alert\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Technikorb\safe_meet_alert\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Technikorb\safe_meet_alert\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"e:\Technikorb\safe_meet_alert\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"e:\Technikorb\safe_meet_alert\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Technikorb\safe_meet_alert\lib\BottomNavigationBar\bottom_navigation_bar.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 2, 9, 85
"e:\Technikorb\safe_meet_alert\lib\Emergency_contacts\boxes_emercon.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"e:\Technikorb\safe_meet_alert\lib\Emergency_contacts\emergency_contacts.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 4, 107
"e:\Technikorb\safe_meet_alert\lib\Subscrption\boxes_subs.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"e:\Technikorb\safe_meet_alert\lib\Subscrption\subscription1.dart", "Dart", 0, 0, 0, 379, 0, 0, 0, 0, 0, 0, 18, 6, 403
"e:\Technikorb\safe_meet_alert\lib\common\appbar.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 2, 5, 110
"e:\Technikorb\safe_meet_alert\lib\common\main button screens\main_button_screens.dart", "Dart", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 30, 6, 138
"e:\Technikorb\safe_meet_alert\lib\common\utils\appcolors.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\Technikorb\safe_meet_alert\lib\common\utils\apptheme.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"e:\Technikorb\safe_meet_alert\lib\common\utils\asset_names.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Technikorb\safe_meet_alert\lib\common\utils\carousel.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 5, 68
"e:\Technikorb\safe_meet_alert\lib\common\utils\dimension.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 3, 75
"e:\Technikorb\safe_meet_alert\lib\common\widgets\app_bar2.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 1, 4, 78
"e:\Technikorb\safe_meet_alert\lib\common\widgets\appbar3.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 4, 67
"e:\Technikorb\safe_meet_alert\lib\common\widgets\appbar4.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 4, 60
"e:\Technikorb\safe_meet_alert\lib\common\widgets\appbar5.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 1, 4, 83
"e:\Technikorb\safe_meet_alert\lib\common\widgets\appbar6.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 12, 3, 60
